canonical_org_id,org_name,metric_name,wave_date,value,value_max,n_records,is_outlier
org_025,BlueHorizon Water,health_hygiene_informed,2024-10,3000.0,3000.0,1,False
org_025,BlueHorizon Water,health_hygiene_informed,2025-05,10000.0,10000.0,1,False
org_025,BlueHorizon Water,health_hygiene_outcomes,2025-05,0.0,0.0,1,False
org_025,BlueHorizon Water,health_hygiene_societal,2025-05,0.0,0.0,1,False
org_025,BlueHorizon Water,monthly_revenue,2023,10000.46,10000.46,1,False
org_025,BlueHorizon Water,monthly_revenue,2025-10,22199.47,22199.47,1,False
org_025,BlueHorizon Water,nps_recommend,2025-04,10.0,10.0,1,False
org_025,BlueHorizon Water,pct_women_reached,2025-10,60.0,60.0,1,False
org_025,BlueHorizon Water,runway_months,2025-04,12.0,12.0,1,False
org_025,BlueHorizon Water,runway_months,2025-10,12.0,12.0,1,False
org_018,BlueRoot Africa,fte_count,2023-10,5.0,5.0,1,False
org_018,BlueRoot Africa,funding_total,2023-10,10000.0,10000.0,1,False
org_018,BlueRoot Africa,monthly_revenue,2021,800.0,800.0,1,False
org_032,BrightPath Solutions,beneficiaries_reached,2025-2026,120000.0,120000.0,1,False
org_032,BrightPath Solutions,business_perf_rating,2025-2026,4.0,4.0,1,False
org_032,BrightPath Solutions,business_perf_rating,2026-05,8.0,8.0,1,False
org_032,BrightPath Solutions,confidence_rating,2025-2026,4.0,4.0,1,False
org_032,BrightPath Solutions,customer_count,2026-05,15.0,15.0,1,False
org_032,BrightPath Solutions,fte_count,2026-05,5.0,5.0,1,False
org_032,BrightPath Solutions,health_hygiene_engaged,2026-05,0.0,0.0,1,False
org_032,BrightPath Solutions,health_hygiene_impact,2026-05,0.0,0.0,1,False
org_032,BrightPath Solutions,health_hygiene_informed,2026-05,0.0,0.0,1,False
org_032,BrightPath Solutions,monthly_expenses,2025-2026,9000.0,9000.0,1,False
org_032,BrightPath Solutions,monthly_expenses,2026-05,60000.0,60000.0,1,False
org_032,BrightPath Solutions,monthly_revenue,2024,300000.0,300000.0,1,False
org_032,BrightPath Solutions,monthly_revenue,2025-2026,340000.0,340000.0,1,False
org_032,BrightPath Solutions,pct_women_reached,2025-2026,50.0,50.0,1,False
org_032,BrightPath Solutions,runway_months,2025-2026,18.0,18.0,1,False
org_029,BrightSpring Health,business_perf_rating,2025-04,8.5,10.0,2,False
org_029,BrightSpring Health,customer_count,2025-04,3.0,3.0,1,False
org_029,BrightSpring Health,fte_count,2024-10,53.0,53.0,1,False
org_029,BrightSpring Health,health_hygiene_engaged,2025-05,0.0,0.0,1,False
org_029,BrightSpring Health,health_hygiene_impact,2025-05,0.0,0.0,1,False
org_029,BrightSpring Health,health_hygiene_informed,2024-10,0.0,0.0,1,False
org_029,BrightSpring Health,health_hygiene_informed,2025-05,0.0,0.0,1,False
org_029,BrightSpring Health,health_hygiene_outcomes,2025-05,0.0,0.0,1,False
org_029,BrightSpring Health,health_hygiene_societal,2025-05,0.0,0.0,1,False
org_029,BrightSpring Health,nps_recommend,2025-04,10.0,10.0,1,False
org_029,BrightSpring Health,runway_months,2025-04,1.0,1.0,1,False
org_015,BrightWell Solutions,beneficiaries_reached,2024-10,35000.0,35000.0,1,False
org_015,BrightWell Solutions,beneficiaries_reached,2025-10,1000.0,1000.0,1,False
org_015,BrightWell Solutions,business_perf_rating,2024-10,9.0,9.0,2,False
org_015,BrightWell Solutions,business_perf_rating,2025-04,10.0,10.0,1,False
org_015,BrightWell Solutions,confidence_rating,2024-10,9.0,9.0,1,False
org_015,BrightWell Solutions,customer_count,2024-10,50.0,50.0,1,False
org_015,BrightWell Solutions,customer_count,2025-04,500.0,500.0,1,False
org_015,BrightWell Solutions,fte_count,2023-10,9.0,9.0,1,False
org_015,BrightWell Solutions,fte_count,2024-10,7.0,7.0,1,False
org_015,BrightWell Solutions,fte_count,2025-04,9.0,9.0,1,False
org_015,BrightWell Solutions,funding_total,2023-10,3500000.0,3500000.0,1,False
org_015,BrightWell Solutions,funding_total,2024-10,0.0,0.0,1,False
org_015,BrightWell Solutions,funding_total,2025-04,0.0,0.0,1,False
