Organisation Name,How likely are you to recommend the Aurelia Access Accelerator to your peers?,How would you rate Module 1: Driving Market Traction? ,Please explain your answer further,What was your level of knowledge on the topics addressed in this module BEFORE the accelerator?,What was your level of knowledge on the topics addressed in this module AFTER the accelerator?,How would you rate Module 2: Impact Measurement and Measurement?,1.3.1 Please explain your answer further,1.3.2 What was your level of knowledge on the topics addressed in this module BEFORE the accelerator?,1.3.3 What was your level of knowledge on the topics addressed in this module AFTER the accelerator? ,1.4 How would you rate Module 3: The Art of Proposals,1.4.1 Please explain your answer further,1.4.2 What was your level of knowledge on the topics addressed in this module BEFORE the accelerator?,1.4.3 What was your level of knowledge on the topics addressed in this module AFTER the accelerator?,1.5 How would you rate Module 4: Building Effective Ecosystems,1.5.1 Please explain your answer further,1.5.2 What was your level of knowledge on the topics addressed in this module BEFORE the accelerator?,1.5.3 What was your level of knowledge on the topics addressed in this module AFTER the accelerator?,1.6 How would you rate the structure and execution of the Masterclasses?,1.6.1 Please explain your answer further,1.7 How would you rate the structure and execution of the Consultations?,1.7.1 Please explain your answer further,1.8 How would you rate the structure and execution of the Bootcamps?,1.8.1 Please explain your answer further,1.9 How would you rate the structure and execution of the Mentoring Workshops?,1.9.1 Please explain your answer further.,1.10 How would you rate the structure and execution of the Imbizos?,1.10.1 Please explain your answer further,1.11 How would you rate the structure and execution of the Barazas?,1.11.1 Please explain your answer further,YSB Attribution,1.12 How much has the accelerator influenced your business performance since the program concluded?,1.12.1 Please explain your answer further,1.13 How much has your overall business performance changed since you commenced the accelerator?,1.13.1 Please explain your answer further,To what extent did the accelerator program effectively address the specific needs of your enterprise given its stage of maturity?,Please share any specific aspects of the program that were particularly helpful based on your maturity level,1.14.2 Please share any specific areas where you felt additional support was needed based on your enterprise’s maturity level,Revenue Model & Traction,Impact Measurement & Management,Team & Operations Growth,Customer Adoption & Market Penetration,Revenue Model & Capital Strategy,Expansion Strategy & Investment Readiness,Inform: How many people have received educational health & hygiene messaging through your brands e.g. by watching educational video content? (Please write 0 if it does not apply) as of October 2024,Inform: How many people have received educational health & hygiene messaging through your brands e.g. by watching educational video content? (Please write 0 if it does not apply) as of May 2025,"Who are the people from vulnerable and marginalised groups reached (e.g. women, people with disabilities, low-income households)",1.2 What is the share of women among people informed (in absolute numbers)? ,1.3 How did you calculate the number of people you reached in this group,2. Engage: How many people have been directly engaged in a two-way interaction by your organisation e.g. actively participating in a training or workshop on handwashing as of October 2024,2. Engage: How many people have been directly engaged in a two-way interaction by your organisation e.g. actively participating in a training or workshop on handwashing as of May 2025,"2.1 Who are the people from vulnerable and marginalised groups reached (e.g. women, people with disabilities, low-income households)",2.2 What is the share of women among people informed (in absolute numbers)? ,2.3 How did your organisation reach the target group and what was the impact on the target group?,2.4 How did you calculate the number of people you reached in this group,3. Outcomes: Number of people that experience immediate positive outcomes as a result of the programme through knowledge and awareness increase as of October 2024,3. Outcomes: Number of people that experience immediate positive outcomes as a result of the programme through knowledge and awareness increase as of May 2025,"3.1 Who are the people from vulnerable and marginalised groups reached (e.g. women, people with disabilities, low-income households)",3.2 What is the share of women among people informed (in absolute numbers)? ,3.3 How did your organisation reach the target group and what was the impact on the target group?,3.4 How did you calculate the number of people you reached in this group,4. Impact: Number of people that experience positive changes in their day-to-day lives e.g. by changing their behavior in a positive way or getting improved access to health and hygiene services as of October 2025,4. Impact: Number of people that experience positive changes in their day-to-day lives e.g. by changing their behavior in a positive way or getting improved access to health and hygiene services as of May 2025,"4.1 Who are the people from vulnerable and marginalised groups reached (e.g. women, people with disabilities, low-income households)",4.2 What is the share of women among people informed (in absolute numbers)? ,4.3 How did your organisation reach the target group and what was the impact on the target group?,4.4 How did you calculate the number of people you reached in this group,"5. Societal Impact: people that experience material positive impact on their health and/or quality of life (e.g. they are ill less often, they now have higher income) as of October 2024","5. Societal Impact: people that experience material positive impact on their health and/or quality of life (e.g. they are ill less often, they now have higher income) as of May 2025","5.1 Who are the people from vulnerable and marginalised groups reached (e.g. women, people with disabilities, low-income households)",5.2 What is the share of women among people informed (in absolute numbers)? ,5.3 How did your organisation reach the target group and what was the impact on the target group?,5.4 How did you calculate the number of people you reached in this group,What funding size do you currently have for your initiative? Please include all internal and external funds in USD.,Please enter your average monthly revenues in USD (year 2023/24). This is not ARR.,How many employees (Full time employees) does your organisation currently have?,How much runway (in months) do you currently have? i.e Current Cash Balance ÷ Monthly Total Expenses,How many full time employees does your organisation currently have?,How many customers do you currently serve?,Are there any partnerships that have formed as a result of the accelerator? ,What are your top 3 needs as an organisation at the moment?,1.4 How did your organisation reach the target group and what was the impact on the target group?
SunWell Africa,10,9,,3,7,10,"This module stood out for me as I have always wanted to learn about IMM. We now have framework to work with, and clearly know how to track and what is relevant per time.",3,9,9,This module helped me to know what is relevant and how to write a proposal in just few pages. I look forward to writing more to perfect my knowledge ,3,8,10,"I usually find it difficult connecting with people in the same niche, but this module helped me to understand that collaboration trumps competition.",4,9,10,"This is the best Masterclasses I've had since I started my organisation.  It's well structured, time conscious yet engaging.  ",10,This was my most favourite of them all. I get to connect with the experts on lerosnal level and it was such a safe space to say your mind and learn at your own pace. I loved it and I hope we can still have access to book such consultations when we hot a roadblock.,10,I always looked forward to the boot camps. The hands-on sessions were awesome. The breakout rooms and practical guides and how the team reached at all time even during Live. Amazing!!!,9,"Initially it felt like it wasn't going to work, but it became better. I loved every moment I spent with my mentor-Chinwendu. She is such a lovely and kind person.",10,"Mbizos always come with expectations but I love the adrenaline.  Hahaha. I loved that even when someone is nervous, the team try to cheer them on with their body language. It was quite encouraging.  I saw it a lot and it has shaped me as a leader.",10,Starting something new isn't easy but this was executed with precision. ,10,10,"Prior to thr program, we made a mistake by not launching a product we had finalised in 2024. We even deleltef the product just because we listened to lots of counsel that didn't make sense in hindsight. The accelerator helped my team to shut the noise and focus on one thing at a time. ",9,"We have been able to use the IMM to design a new MVP, and have a clear road map ahead of us.",9,"Initially, I felt like we wouldn't keep up but the team reassured me. We didn't feel left out because everything was taught from the scratch. Extra support was provided at every stage. There is also a way the team keep you on your toes without making you feel overly restored or overwhelmed ",I would like more support on real life marketing strategy for service based business especially healthtech. ,"2 - Some revenue, pilot customers, testing business model","2 - Basic Theory of Change, early impact metrics",2 - Some defined roles & processes,"3 - Growing customer base, first partnerships",2 - Some early revenue,2 - Exploring scaling options,100000,500000,Women,90.0,"Reach on Facebook and Instagram for educational content
Number of women in WhatsApp community during webinars
Number of women and male partners attending weekly antenatal classes.",,0,NA,0,NA,NA,,0,NA,0,NA,NA,150,200,Women,95,"Online antenatal classes.  Our educational classes has helped pregnant women and new mums to learn how to prevent avoidable complications in pregnancy,  how to detect complications early ans how to manage minor symptoms using home remedies. The new mums learnt better newborn care especially as it pertains nutrition and feeding hygiene.",Number of women who have accused  our premium pregnancy services. ,150,200,Women,100,"Online antenatal classes and 24-hour doctor support. SunWell Africa prioritises preventive care and early detection,  hence women are equip3d with knowledge and access. This has led to less complications and decrease in hospital visits.",Number of women who have accessed premium pregnancy support at SunWell Africa ,1700,150,200,8,5,45,Not yet. ,"Funding
Market access 
Governance ","Through educational content on social media , webinars,  and online classes "
LifeSpring Innovations,10,10,This module deepened my understanding of the key growth levers and the value of mapping the customer journey as critical tools for driving market traction.,5,8,10,"This session was particularly insightful, offering an in-depth exploration of the Theory of Change, and how to effectively measure and communicate impact.
By the end of the session, we gained a solid understanding of how to design and apply a Theory of Change tailored to our organization’s mission. We also learned practical tools and frameworks to measure, manage, and report our impact more effectively.
The session helped us refine our organization’s long-term vision and outcomes, which served as the foundation for developing our Theory of Change (see Miro Board). 
In addition, we successfully developed an Impact Measurement Framework that will guide us in tracking, evaluating, and communicating the real-world outcomes of our work.",4,8,7,"This module provided valuable insight into the key features of a strong and compelling proposal. It emphasized the importance of aligning proposals with both the strategic goals of the enterprise and the priorities of the funding agency to ensure mutual value creation. The lessons from this module were particularly helpful in shaping our project proposal to Aurelia, enabling us to present our ideas more effectively and strategically.",6,9,10,"This module effectively highlighted the importance of ecosystems in driving growth and impact. The barazas underscored the value of partnerships and collaboration between enterprises across different sectors and geographies. These interactions reinforced the idea that no organisation operates in isolation and that strategic collaboration can amplify both reach and effectiveness.
The Fish Bowl discussions provided valuable insights into the work of each entrepreneur in an engaging and interactive way. The format allowed for open sharing, learning, and meaningful connections in a relaxed and enjoyable atmosphere.


",5,9,9,"The masterclasses provided an in-depth understanding of each subject. I particularly appreciated the opportunity to engage in breakout sessions with other members of the cohort and YSB team, which greatly enhanced our learning. The interactive activities in these sessions were especially valuable in deepening our grasp of the concepts discussed.",10,"They were interactive and were quite effective in clarifying areas where we previously lacked understanding.



",8,"The boot camps were comprehensive and covered a wide range of important topics. However, given the volume of information shared, spreading the sessions over two days might have allowed for better absorption and retention of knowledge. A more paced approach could also provide time for deeper engagement with the material.",9,"They were interactive and were quite effective in clarifying areas where we previously lacked understanding.


",10,"They were quite intense! Feel like a few minutes more would have  made a big difference?










",10,"
It provided a great platform to connect with others in the same sector and get different perspectives.",8,8,It has been quite valuable for team building and a re -commitment to our vision and mission.,10,The Accelerator has increased our knowledge and has given us confidence in engaging with some our key stakeholders and partners.,9,"The fish bowl discussions, Barazas and consultations were quite useful.",N/A,"3 - Consistent revenue, refining model, early unit economics","3 - Defined impact model, outcome measurement in place","3 - Structured team, growing capacity","3 - Growing customer base, first partnerships",4 - Moving towards financial independence,3 - Some replication or regional expansion,438000,681543,,50.0,Keep daily records of users at facilities provided.,438000,681543,"Women, low-income households- artisans, mechanics, vendors, street traders, bikers.",50,"Mass sensitization campaigns, flyers, signages.",N/A,438000,681543,"Women, low-income households- artisans, mechanics, vendors, street traders, bikers.",50,"Mass sensitization campaigns, flyers, signages, 1 on 1 engagements",Keep daily records of users at facilities provided.,438000,681543,"Women, low-income households- artisans, mechanics, vendors, street traders, bikers.",50,"Mass sensitization campaigns, flyers, signages, 1 on 1 engagements",Keep daily records of users at facilities provided.,438000,681543,"Women, low-income households- artisans, mechanics, vendors, street traders, bikers.",50,"Mass sensitization campaigns, flyers, signages, 1 on 1 engagements",Keep daily records of users at facilities provided.,N/A,"$2,637","$4,449",4 months,44,1800 users daily,N/A,"1. Access to sustainable funding
2. Strategic partnerships & Stakeholder support
3. Capacity building & technical support","Mass sensitization, Awareness campaign, flyers & Public Service Announcements."
BrightSpring Health,10,8,"It provide us with guidance on how best to drive our market shares, engage with Ckients and build our brand.",5,10,10,This was a holistic session that gave us as a team the needed tools required to properly evaluate our impact in the market place.,7,9,9,This model fine tuned our proposal development skills.,6,10,9,We were able to learn and adapt the skills from this module to our ongoing engagements.,5,9,9,It was great and nicely done.,9,Wonderful ,10,It was well structured and the support provided was exceptional.,10,10/10,10,10/10,10,"Great, nicely done.",5,10,Sanivation is now in a much better place in terms of operational efficiency. ,7,We are better positioned and trained to deliver on our project mandates.,9,"Yes, the program helped us to better prepare for market entry into Nigeria.",Not applicable.,"2 - Some revenue, pilot customers, testing business model","3 - Defined impact model, outcome measurement in place","3 - Structured team, growing capacity",2 - Some early adopters,2 - Some early revenue,3 - Some replication or regional expansion,0,0,0,0.0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,None,We are currently undergoing a recapitalisation...so our figures can't be computed at the moment.,N/a,1,This is being reevaluated,3,Yes with Aurelia and the Unity Beverages Group ,"Funding, contracts and networking within the water sector.",0
BlueHorizon Water,10,8,,6,8,10,"Prior to this module, we had gaps in tracking some key metrics essential to measuring our impact. However, the insights gained during this module have empowered us to identify and focus on significant metrics that effectively demonstrate the impact of our work at Healthtracka. This shift will enable us to better assess our outcomes, improve our processes, and communicate our value to stakeholders more effectively",3,10,8,"The module was great however, I think it could be more simplistic",8,9,10,,4,10,10,,10,The personalized structure of the consultations was excellent and the consultants provided helpful and insightful guidance,10,,2,"We did not get a chance with our mentor. But thanks to the YSB team that stepped up and filled the gap, Special appreciation to Sam, Rowan, Jnine and Jo",10,,10,The Barazas were perfectly executed and it was a great opportunity for the Innovators to share ideas and network,6,6,,6,,8,"To demonstrate to funders that your work is making impact, one needs to have a well though-out theory of change and a detailed impact measurement framework, and this program helped us realized the importance of the IMM and identify metrics we would ordinarily not consider but were very impactful and also helped us redefine our journey as an organization","I would recommend that for future accelerator programs, there should be a supporting mentor who can step up in a situation where the main mentor is not available to provide the needed guidance and support","5 - Sustainable revenue streams, proven market presence","3 - Defined impact model, outcome measurement in place","3 - Structured team, growing capacity",5 - Expansion and replication of model internationally,4 - Moving towards financial independence,3 - Some replication or regional expansion,3000,10000,,1500.0,Number of videos on our educational content on Youtube and attendance registers for our conference and pink Friday events,1000,1200,Women ,1000,"Community-based screening and health education programs in rural Kaduna, Pink Friday health education events, and our annual conference",Attendance data collected from these events,,0,0,0,0,0,6000,7152,6000,3000,"Through targeted market campaigns, and strategic partnerships with community pharmacies and diagnostic laboratories. The target group were empowered to have access to on-demand diagnostic services leveraging our digital solutions and network of health workers",The data was gotten from our admin dashboard,,0,0,0,0,0,1250000,"$10,000.46","$23,445.34",12,18,6000,None yet,"Business model refinement 
New market entry strategy 
Introduction to and strategy to acquire B2B clients 
","Healthtracka adopts various channels in reaching women with health education including leveraging our Youtube channels, our monthly Pink Friday events, our banking on women's health conference and through our social media pages, our b2b training with client organizations"
EarthGuard Solutions,10,10,"Every module was great and Highly co-ordinated, I recommend this accelerator 100%",7,10,10,This is the best Impact measurement framework I have ever created for my company through the assistance of the accelerator,5,10,10,Powerful training from facilitators about proposal writing and fund raising. Very impactul and result driven. well organized.,10,10,10,"It was powerful, with   great connections facilitated through the Barazar",6,10,10,"The master classes were well curated with good trainers, I loved the pre begining music. very good Music collection",10,"Excellent thought driven consultations, with patient and people driven consultants.",10,"Powerful boot camps, very engaging and thoughtful.. Good fee back and questions, excellent overall.",5,"Mentor was not so engaged and busy most times but we did some work on finance, overall.",10,"Very excellent Imbizos with good preseations, connections and feed back",10,,10,10,Good connections with international innovators and lots of good and well perfoming people and connectiosn facilitated,7,"we have improved in performance, although activities were very time consuming but overall improvement in business dynamics and structuring have been noticed.",9,The accelerator has helped us improve our impact measurment and project planning overall as well as engament with stakeholders..,Improve more connections with Investors and Funders leveraging the network of organizers.,"2 - Some revenue, pilot customers, testing business model","5 - Proven impact, influencing policy or ecosystems","3 - Structured team, growing capacity","3 - Growing customer base, first partnerships",3 - Balanced mix of funding & revenue,3 - Some replication or regional expansion,230,2000,"Women, People with disabilities, low-income households",1100.0,IMM-Data collected on ground,230,2000,"women, children, blind, disabled",1000,"Direct engagement through trainings, site visits, community sessions",Data colelcted from participation,0,0,"women, PLWD, Low income households",0,"Meets, outreaches, community visits",IMM-Data collected,30000,51000,"Women, PLWD, Low Income Households",30600,"Data collection, direct engagements and community Visits","Data collected and feed back, community Visits",15000,30000,"Women, PLWD, Low Income Households",15000,Direct community engagement through water works and WASH,"Data collected from Household to Household, number of people using our infrastructure",50000,8000,10000,2,20,147,PureGuard,"1. Funding
2. Partnerships","On ground work, social media, messaging"
FreshWave Solutions,10,8,Solid training and good referral documents for sharing with teams,9,9,10,"Really appreciated the chance to do a theory of change with our team and have it designed, and it was good timing for us to put together a more robust IMF",8,9,9,I did not attend but my team thought it was very useful. Am making an estimate below for their knowledge ,8,8,9,,10,10,9,"Good experts brought in, well done training with specific goals",10,Appreciated the tailored 1:1 conversations ,10,"Good experts brought in, well done training with specific goals
Would only have preferred planning 3-weeks out for better juggling of priorities ",10,Wonderful and valuable resource. I appreciated how different people could be brought in according to need ,10,Loved the deadline and presentation and learning about others’ project ,10,"Great conversations, generative and relevant ",5,8,If we had not had the funding problem that came from Trump it would have been amplified faster as we had great traction with James for Carrefour - so we look forward to more in the future. But the work to reach out to Uni students helped us accelerate the timeline of this priority customer base for us and create a broader offering for them (and for us) ,8,Same as above ,10,The mentorship with James to intro us and get us in to Carrefour; the plan with Durex to do activations at universities and TVETs; the exploration of longer term partnership opportunities for business with Aurelia ,"Maybe just intros to potential funders, but the ecosystem work that is being built is working to that; maybe not disqualifying us from WinFUND, but I can understand that decision. Especially during this time where we lost 2M in nearly completed funding due to the Trump administration ","3 - Consistent revenue, refining model, early unit economics","5 - Proven impact, influencing policy or ecosystems","3 - Structured team, growing capacity","4 - Strong brand, established market presence, product diversification",4 - Moving towards financial independence,4 - Actively scaling,0,800000,"Women, vulnerable children in and out of school, low income households - that is 100% of our customer base of about 100k/month ",100.0,"120k reached with free pads 2007-2014 while we were creating our IP and we used forms for distribution students has to sign and the school head had to sign. We have trained about 50,000 with our curriculum during and after our RCT via mentors and CBOs. We are now training 250 teachers as we embed into the government curriculum benefiting about 25K students. The other numbers are our average per month sales each year. ",,0,We don’t do handwashing training but happy to co-create a module we could then do,0,We do not do handwashing ,N/A,,800000,N/a,0,We don’t do handwashing ,N/a,,800000,As per the first set of questions ,300000,That is the estimated women who use or have used our pads vs girls under 18 ,As per above,,800000,As above ,37,Same as above. 300/800 =0.375 37.5,As above ,510000 (500k conditional on getting matching) plus monthly income from sales ,16169,13846 including inventory and loan repayments,1.5,5,120000,TrueNorth Impact - we hope to do activations in modern trade (National supermarkets) together ,"1. Matching funds (low interest loan or SAFE) to unlock $500k in equity - for working capital, to introduce our new products, point of sale / marketing material, and to hire a new head of sales
2. Figuring out the right cost-effective TA for an ERP to prepare for our product expansion
3. Thought partnerships as we consider expansion into North America - we will have a comprehensive business plan from Wharton students by next month ",We sell pads. Some are bought by intermediary institutions who give for free. Our non profit used our company’s health education resources to train CBOs and directly in schools. We are now embedding our proven curriculum into the government’s school curriculum via our non-profit. 
AquaVantage Group,10,7,This was the Genesis of understanding my clients from a more focused perspective,2,6,8,This Module expanded my M&E aspect of our impact in the target areas.,3,8,9,We managed to learn how to articulate our project ,4,8,6,This has increased our partnership and collaboration approaches.,3,6,8,It was a very impactful session with new learns,9,Consultations were centred on our needs and more friendly forum.,10,"This was so interactive, and the exchange of experiences from cohort members.",8,My metor was someone who have done a similar venture and the support was great although we lost contact due to his busy schdule,9,great presenting of our progress,8,enabled meet with fellow cohort and even relevant networks,9,9,I have been able to streamline my operation and have direction in terms of understanding my clients' needs.,8,We have goten new deals,8,the Barazs and imbizzo gave me a chance to exchange with the already established  business,More followup on partnership creation and resource mobilization,"4 - Profitable or strong funding mix, diversified revenue streams","4 - Strong impact data, scaling reach, measurable systemic change","3 - Structured team, growing capacity","4 - Strong brand, established market presence, product diversification",4 - Moving towards financial independence,4 - Actively scaling,65,1500,0,50.0,We cannot do exact calculations because of a lack of tracking,40,90,0,50,Through radio talks and community meetings,No evidential data ,40,90,0,50,"Community barazas and radio talks, although no impact was tracked",No evidential data,100,300,180,50,The installation of 20 toilet units in the informal settlements has improved their access to improved sanitation,"The 20 units installed serve an average of two households each. A household, on the other hand, has an average of five members",,0,0,50,We have not been tracking this,We have not tracked this,4000,1500,1000,1.5,5,50,"YES, we have signed two contracts worth  1.5 million to construct and renovate toilets and venture in new market.","Create more networks, venture into new markets, and increase our market share","We have been able to reach the target group through radio talks, media coverage, attending community barazas, and direct interaction with the target groups. However, we have not been tracking the numbers hence cannot give evidencial data on the exact numbers"
TrueNorth Impact,8,9,,8,10,9,,8,10,10,,8,10,10,,9,10,10,,10,"The consultation sessions were incredibly helpful. Janine and Rowan provided valuable guidance in refining our Theory of Change, and Marielle’s input during our proposal consultation was invaluable. Additionally, the meeting with the team from Viridian helped us clarify our market strategy and address challenges specific to our operations in Kenya. Overall, the consultations were well-structured and provided tailored support that directly addressed our need",10,"The Bootcamps were highly interactive and engaging. Although the sessions were long, they never felt tiring because of the excellent facilitation, the vibrant atmosphere, and the great use of music to keep the energy high. The facilitators were outstanding — knowledgeable, dynamic, and truly made the experience enjoyable and impactful",10,"We loved working with our mentors — they were extremely helpful, knowledgeable, and supportive throughout the process. It was also very valuable that the YSB team regularly moved between groups to offer additional guidance and insights when needed",10,"The Imbizos were very valuable, functioning almost like training sessions for developing our elevator pitch. It was also great to see the progress other teams were making and learn from their experiences. The sessions fostered a collaborative environment where we could share and refine our ideas, which was really insightful.",9,The Barazas were well-structured and provided a valuable platform for peer learning and knowledge exchange.,5,10,"Our retail entry strategy is now actively being implemented, and we have begun expanding into new retail channels. The funded school project proposal is helping us grow our reach and impact.
Our IMM framework and Theory of Change, both developed during the program, continue to guide our impact measurement efforts and come in handy when applying for funds
 These outcomes would not have been possible without the structure, mentorship, and resources provided by the accelerator",10,"Since starting the accelerator, our overall business performance has strengthened notably. Through the program, we aligned and initiated our retail entry strategy and began actively pursuing retail channels. We also developed a robust Impact Measurement and Management (IMM) framework and refined our Theory of Change. Additionally, we created an empathy map to better understand our beneficiaries and established valuable connections with other stakeholders. A major milestone was the development of a proposal for our school project, which successfully secured funding. Overall, the accelerator provided critical strategic and operational support that has accelerated our growth",8,"The opportunity to engage with experts from Aurelia was particularly valuable. As a growing organization, we currently cannot afford such expertise independently, so gaining access to them through the program was extremely beneficial for our development.","We would have greatly appreciated additional support in fundraising, as it remains a critical need for our stage of growth.","4 - Profitable or strong funding mix, diversified revenue streams","4 - Strong impact data, scaling reach, measurable systemic change",4 - Strong management & systems,"4 - Strong brand, established market presence, product diversification",3 - Balanced mix of funding & revenue,4 - Actively scaling,45525,58697,"women, low income households",65.0,we calculate this against the number of people that our team leaders reavh when they go to the MFI groups. the team is to report the number of people they visited and how many men and women the group was comprised of.,,1191,women,85,we held at least one stakeholder meeting in the 47 counties ,based on the number of people that registered and showed up for the stakeholder engagements,46617,59888,women and low income households,70,we had stakeholder meetings and we visited MFI groups,the number of people that joined the trainings and the number of people that got this information,,10000,women and low income households,65,we marketed through MFIs and also word of mouth. we have also run ads on social media and made our products accessible in online marketplaces.,we have a centralized data room where we enter all the information,,10000,women and low income households,65,"we sent out our agents to different counties and worked with MFIs and CBOs on the ground so we would get access to their members.
",this is based on the data collected from our agents and stored in the data room.,"559,400","23,809","24,390",0.8,20,10000,"While we have not yet closed any new partnerships, the accelerator has been instrumental in helping us initiate and develop key partnerships that we are now actively pursuing.","1. We are seeking additional funding to scale our operations and expand our impact.
2. We need more strategic partnerships to help with the distribution of our filters and expand our reach.
3. Strengthening our marketing efforts to raise awareness about our products and increase customer adoption is a key priority",we had our team leaders join them at their groups and then take them through our clean drinking water guidance.
